title,type,paper,code,benchmark
Self-Organized Agents: A LLM Multi-Agent Framework toward Ultra Large-Scale Code Generation and Optimization,multi-agent collaboration,https://arxiv.org/abs/2404.02183,https://github.com/tsukushiAI/self-organized-agent," HumanEval "
Multi-Agents Based on Large Language Models for Knowledge-based Visual Question Answering,multi-agent collaboration,https://arxiv.org/abs/2412.18351,none,
Exploring LLM Multi-Agents for ICD Coding,multi-agent collaboration,https://arxiv.org/abs/2406.15363,http://constraints.the/,
Navigating Complexity: Orchestrated Problem Solving with Multi-Agent LLMs,multi-agent collaboration,https://arxiv.org/abs/2402.16713,,
LLMs and generative agent-based models for complex systems research,multi-agent collaboration,https://www.sciencedirect.com/science/article/pii/S1571064524001386,,
Cooperative Scheduling and Hierarchical Memory Model for Multi-Agent Systems,"multi-agent collaboration, communication optimization",https://ieeexplore.ieee.org/abstract/document/10756271,,
Harnessing Multi-Agent LLMs for Complex Engineering Problem-Solving: A Framework for Senior Design Projects,"multi-agent collaboration, framework",https://arxiv.org/abs/2501.01205,,
Challenges Faced by Large Language Models in Solving Multi-Agent Flocking,multi-agent collaboration,https://arxiv.org/abs/2404.04752,,
Automating Software Development Processes Through Multi-Agent Systems: A Study in LLM-based Software Engineering,multi-agent collaboration,https://www.diva-portal.org/smash/record.jsf?pid=diva2%3A1871606&dswid=-7257,,
Harnessing Language for Coordination: A Framework and Benchmark for LLM-Driven Multi-Agent Control,multi-agent collaboration,https://arxiv.org/abs/2412.11761,http://hive.syrkis.com/,
Levels of AI Agents: from Rules to Large Language Models,multi-agent collaboration,https://arxiv.org/abs/2405.06643,,
Exploring and Controlling Diversity in LLM-Agent Conversation,"multi-agent collaboration, communication optimization",https://arxiv.org/abs/2412.21102,,
TradingAgents: Multi-Agents LLM Financial Trading Framework,multi-agent collaboration,https://arxiv.org/abs/2412.20138,,
Massively Multi-Agents Reveal That Large Language Models Can Understand Value,evaluation on MGAS,https://openreview.net/forum?id=obYDlJN0oU,,
LLM experiments with simulation: Large Language Model Multi-Agent System for Simulation Model Parametrization in Digital Twins,multi-agent sim,https://ieeexplore.ieee.org/abstract/document/10710900,https://github.comlYuchenXia/LLMDrivenSimulation,
Large language model based multi-agent system augmented complex event processing pipeline,multi-agent collaboration,https://oulurepo.oulu.fi/handle/10024/51077,,
DrugAgent: Automating AI-aided Drug Discovery Programming through LLM Multi-Agent Collaboration,multi-agent collaboration,https://arxiv.org/abs/2411.15692,,
Knowledge Tagging with Large Language Model based Multi-Agent System,multi-agent collaboration,https://arxiv.org/abs/2409.08406,,
Prompt Infection: LLM-to-LLM Prompt Injection within Multi-Agent Systems,communication optimization,https://arxiv.org/abs/2410.07283,,
Aegis:An Advanced LLM-Based Multi-Agent for Intelligent Functional Safety Engineering,multi-agent collaboration,https://arxiv.org/abs/2410.12475,,
BattleAgentBench: A Benchmark for Evaluating Cooperation and Competition Capabilities of Language Models in Multi-Agent Systems,llm evaluation,https://arxiv.org/abs/2408.15971,,
MACRec: a Multi-Agent Collaboration Framework for Recommendation,multi-agent collaboration,https://arxiv.org/abs/2402.15235,,
AutoML-Agent: A Multi-Agent LLM Framework for Full-Pipeline AutoML,multi-agent collaboration,https://arxiv.org/abs/2410.02958,,
Transforming Competition into Collaboration: The Revolutionary Role of Multi-Agent Systems and Language Models in Modern Organizations,multi-agent collaboration,https://arxiv.org/abs/2403.07769,,
GraphTeam: Facilitating Large Language Model-based Graph Analysis via Multi-Agent Collaboration,multi-agent collaboration,https://arxiv.org/abs/2410.18032,https://github.com/BUPT-GAMMA/GraphTeam,
KAOS: Large Model Multi-Agent Operating System,multi-agent collaboration,https://arxiv.org/abs/2406.11342,,
Optimizing Collaboration of LLM based Agents for Finite Element Analysis,multi-agent collaboration,https://arxiv.org/abs/2408.13406,,
Breaking Agents: Compromising Autonomous LLM Agents Through Malfunction Amplification,"multi-agent collaboration, communication optimization",https://arxiv.org/abs/2407.20859,,
KoMA: Knowledge-Driven Multi-Agent Framework for Autonomous Driving With Large Language Models,multi-agent collaboration,https://ieeexplore.ieee.org/abstract/document/10745878,,
Multi-LLM QA with Embodied Exploration,multi-agent collaboration,https://arxiv.org/abs/2406.10918,,
Reflective Multi-Agent Collaboration based on Large Language Models,multi-agent collaboration,https://openreview.net/forum?id=wWiAR5mqXq,,
CoMAL: Collaborative Multi-Agent Large Language Models for Mixed-Autonomy Traffic,multi-agent collaboration,https://arxiv.org/abs/2410.14368,https://github.com/Hyan-Yao/CoMAL,
Agents: An Open-source Framework for Autonomous Language Agents,framework,http://arxiv.org/abs/2309.07870,"https://github.com/aiwaves-cn/agents
",
AI based Multiagent Approach for Requirements Elicitation and Analysis,multi-agent collaboration,http://arxiv.org/abs/2409.00038,,"self（three requirements analysis tasks: user story generation,quality enhancement,and prioritization.）"
ALGPT: Multi-Agent Cooperative Framework for Open-Vocabulary Multi-Modal Auto-Annotating in Autonomous Driving ,"framework, multi-agent collaboration",https://ieeexplore.ieee.org/abstract/document/10681241/,https://github.com/Fudan-ProjectTitan/OpenAnnotate,
AssistantX: An LLM-Powered Proactive Assistant in Collaborative Human-Populated Environment,multi-agent collaboration,http://arxiv.org/abs/2409.17655,https://assistantx-agent.github.io/AssistantX/,self
BMW Agents - A Framework For Task Automation Through Multi-Agent Collaboration,framework,http://arxiv.org/abs/2406.20041,,
HIERARCHICAL AUTO-ORGANIZING SYSTEM FOR OPEN-ENDED MULTI-AGENT NAVIGATION,multi-agent collaboration,http://arxiv.org/abs/2403.08282,,Minecraft
LARGE LANGUAGE MODEL EVALUATION VIA MULTI AI AGENTS: PRELIMINARY RESULTS,llm evaluation,http://arxiv.org/abs/2404.01023,,
LEVERAGING LARGE LANGUAGE MODELS FOR OPTIMISED COORDINATION IN TEXTUAL MULTI-AGENT REINFORCEMENT LEARNING,learning,https://openreview.net/forum?id=1PPjf4wife,,BabyAI-Text
MARE: Multi-Agents Collaboration Framework for Requirements Engineering,"multi-agent collaboration, framework",http://arxiv.org/abs/2405.03256,,Five public evaluation cases（ATM、COS、TLS、TAS、TMS）、One public evaluation dataset（GoalModelDataset）、Four new evaluation cases（TSHCS、TTCS、TACCS、THCS）
MAS4POI: a Multi-Agents Collaboration System for Next POI Recommendation,multi-agent collaboration,http://arxiv.org/abs/2409.13700,https://github.com/yuqian2003/mas4poi,NYC(Foursquare-NYC) 、TKY (Foursquare-TKY)
MINDAGENT: EMERGENT GAMING INTERACTION,multi-agent collaboration,http://arxiv.org/abs/2309.09971,,CUISINEWORLD（self)
Multi-Agent Collaboration in Incident Response with Large Language Models,multi-agent sim,http://arxiv.org/abs/2412.00652,https://github.com/zefang-liu/AutoBnB,Backdoors & Breaches (Black Hills Information Security and Active Countermeasures 2020) 
SYSTEM FOR SYSTEMATIC LITERATURE REVIEW USING MULTIPLE AI AGENTS: CONCEPT AND AN EMPIRICAL EVALUATION,multi-agent collaboration,http://arxiv.org/abs/2403.08399,https://github.com/GPT-Laboratory/SLR-automation,Professional-based evaluation
Agents: An Open-source Framework for Autonomous Language Agents,framework,http://arxiv.org/abs/2309.07870,"https://github.com/aiwaves-cn/agents
",
AI based Multiagent Approach for Requirements Elicitation and Analysis,multi-agent collaboration,http://arxiv.org/abs/2409.00038,,"self（three requirements analysis tasks: user story generation,quality enhancement,and prioritization.）"
ALGPT: Multi-Agent Cooperative Framework for Open-Vocabulary Multi-Modal Auto-Annotating in Autonomous Driving ,"framework, multi-agent collaboration",https://ieeexplore.ieee.org/abstract/document/10681241/,https://github.com/Fudan-ProjectTitan/OpenAnnotate,
AssistantX: An LLM-Powered Proactive Assistant in Collaborative Human-Populated Environment,multi-agent collaboration,http://arxiv.org/abs/2409.17655,https://assistantx-agent.github.io/AssistantX/,self
BMW Agents - A Framework For Task Automation Through Multi-Agent Collaboration,framework,http://arxiv.org/abs/2406.20041,,
HIERARCHICAL AUTO-ORGANIZING SYSTEM FOR OPEN-ENDED MULTI-AGENT NAVIGATION,multi-agent collaboration,http://arxiv.org/abs/2403.08282,,Minecraft
LLM-Coordination: Evaluating and Analyzing Multi-agent Coordination Abilities in Large Language Models ,multi-agent collaboration,https://arxiv.org/abs/2310.03903,https://github.com/eric-ai-lab/llm_coordination,
Using Large Language Models to Simulate Multiple Humans and Replicate Human Subject Studies,llm evaluation,https://arxiv.org/abs/2208.10264,https://github.com/GatiAher/Using-Large-Language-Models-to-Replicate-Human-Subject-Studies,
Playing repeated games with Large Language Models ,multi-agent collaboration,https://arxiv.org/abs/2305.16867,none,
Rethinking the buyer’s in spection paradox in information markets with language agents.,"multi-agent collaboration, multi-agent sim",https://openreview.net/forum?id=6werMQy1uz,none,
Chateval: Towards better llm-based evaluators through multi-agent debate,multi-agent collaboration,https://arxiv.org/abs/2308.07201,https://github.com/chanchimin/ChatEval,FairEval and Topical-Chat 
AutoAgents: A Framework for Automatic Agent Generation,"framework, multi-agent collaboration",https://arxiv.org/abs/2309.17288,https://github.com/Link-AGI/AutoAgents,
Multi-agent consensus seeking via large  language models,multi-agent collaboration,https://arxiv.org/abs/2310.20151,http://windylab.github.io/ConsensusLLM/,
Agentverse: Facilitating multi-agent collaboration and exploring emergent  behaviors in agents code,"framework, multi-agent sim, multi-agent collaboration",https://arxiv.org/abs/2308.10848,https://github.com/OpenBMB/AgentVerse,"FED, Commongen Challenge, MGSM, Logic Grid Puzzles, Humaneval"
Scalable Multi-Robot Collaboration with Large Language Models: Centralized or Decentralized Systems?,"communication optimization, multi-agent collaboration",https://arxiv.org/abs/2309.15943,https://yongchao98.github.io/MIT-REALM-Multi-Robot/,"BoxNet1 and BoxNet2,  Warehouse and  BoxLift"
Collaborating with language models for embodied reasoning,multi-agent collaboration,https://arxiv.org/abs/2302.00763,,conditional and search tasks
Self-collaboration code generation via chatgpt,"multi-agent collaboration, framework",https://arxiv.org/abs/2304.07590,MBPP (sanitized version)、 HumanEval、MBPP-ET and HumanEval-ET、APPS、CoderEval,"MBPP (sanitized version),  HumanEval, MBPP-ET and HumanEval-ET, APPS, CoderEval"
Improving Factuality and Reasoning in Language Models through Multiagent Debate,multi-agent collaboration,https://arxiv.org/abs/2305.14325,https://arxiv.org/abs/2305.14325,"Biographies, MMLU, Chess Move Validity."
A survey on large language model based autonomous agents,survey,,,
Reflexion: Language Agents with Verbal Reinforcement Learning,learning,https://arxiv.org/abs/2303.11366,https://github.com/noahshinn/reflexion,
The rise and potential of large language model based agents: A survey,survey,,,
"Describe, explain, plan and select: Interactive planning with large language models enables open-world multi-task agents",agent,,https://github.com/CraftJarvis/MC-Planner,
Role play with large language models,persona,,none,
Autogen: Enabling next-gen llm applications via multi-agent conversation framework,framework,,https://github.com/microsoft/autogen,
AgentBench: Evaluating LLMs as Agents,llm evaluation,https://arxiv.org/abs/2308.03688,https://github.com/THUDM/AgentBench,AGENTBENCH(self)
Communicative agents for software development,agent,,https://github.com/OpenBMB/ChatDev,
ChatEval: Towards Better LLM-based Evaluators through Multi-Agent Debate,llm evaluation,https://arxiv.org/abs/2308.07201,https://github.com/thunlp/ChatEval,ChatEval(self)
Large language models as commonsense knowledge for large-scale task planning,agent,,https://github.com/1989Ryan/llm-mcts,
Expel: Llm agents are experiential learners,learning,,none,
Training socially aligned language models in simulated human society,learning,,https://github.com/agi-templar/Stable-Alignment,
The alignment problem from a deep learning perspective,learning,,none,
Fundamental limitations of alignment in large language models,learning,,none,
Drive like a human: Rethinking autonomous driving with large language models,agent,,,
Exploring human-like translation strategy with large language models,agent,,,
Improving language model negotiation with self-play and in-context learning from ai feedback,learning,,,
Cognitive architectures for language agents,"agent, framework",,,
Evaluating and Inducing Personality in Pre-trained Language Models,"llm evaluation, persona",https://proceedings.neurips.cc/paper_files/paper/2023/hash/21f7b745f73ce0d1f9bcea7f40b1388e-Abstract-Conference.html,,
Evaluating the moral beliefs encoded in llms,llm evaluation,,,
Exploring large language models for communication games: An empirical study on werewolf,multi-agent competition,,none,
Openagents: An open platform for language agents in the wild,agent,,,
"Rolellm: Benchmarking, eliciting, and enhancing role-playing abilities of large language models","persona, llm evaluation",,,
Ultrafeedback: Boosting language models with high-quality feedback,learning,,,
Personallm: Investigating the ability of gpt-3.5 to express personality traits and gender differences,"persona, llm evaluation",,,
Character-llm: A trainable agent for role-playing,"learning, persona",,,
BOLAA: Benchmarking and Orchestrating LLM-augmented Autonomous Agents,"multi-agent collaboration, framework",https://arxiv.org/abs/2308.05960,https://github.com/salesforce/BOLAA,WebShop
Chatdb: Augmenting llms with databases as their symbolic memory,agent,,,
Drive as you speak: Enabling human-like interaction with large language models in autonomous vehicles,agent,,,
Auto-gpt for online decision making: Benchmarks and additional opinions,agent,,,
Recmind: Large language model powered agent for recommendation,agent,,,
Recagent: A novel simulation paradigm for recommender systems,multi-agent sim,https://arxiv.org/abs/2306.02552,https://github.com/RUC-GSAI/YuLan-Rec,Movielens-1M
S: Social-network Simulation System with Large Language Model-Empowered Agents,multi-agent sim,https://arxiv.org/abs/2307.14984,none,Blog Authorship Corpus
Metatool benchmark for large language models: Deciding whether to use tools and which to use,"llm evaluation, agent",,,
Confucius: Iterative tool learning from introspection feedback by easy-to-difficult curriculum,"framework, agent",,,
MLAgentBench: Evaluating Language Agents on Machine Learning Experimentation,llm evaluation,https://arxiv.org/abs/2310.03302,https://github.com/snap-stanford/MLAgentBench,MLAgentBench (self)
Appagent: Multimodal agents as smartphone users,agent,,https://github.com/mnotgod96/AppAgent,
Jarvis-1: Open-world multi-task agents with memory-augmented multimodal language modelsv,agent,,,
Metaagents: Simulating interactions of human behaviors for llm-based task-oriented coordination via collaborative generative agents,multi-agent collaboration,https://arxiv.org/abs/2310.06500,none,
Improving Knowledge Extraction from LLMs for Task Learning through Agent Analysis,"agent, framework",,,
Language Agents with Reinforcement Learning for Strategic Play in the Werewolf Game,"learning, multi-agent competition",https://arxiv.org/abs/2310.18940,none,
Reviewergpt? an exploratory study on using large language models for paper reviewing,agent,,,
Igniting Language Intelligence: The Hitchhiker's Guide From Chain-of-Thought Reasoning to Language Agents,agent,,,
URBAN GENERATIVE INTELLIGENCE (UGI): A FOUNDATIONAL PLATFORM FOR AGENTS IN EMBODIED CITY ENVIRONMENT,"multi-agent sim, agent",https://arxiv.org/abs/2312.11813,none,
AgentSims: An Open-Source Sandbox for Large Language Model Evaluation,"multi-agent sim, llm evaluation",https://arxiv.org/abs/2308.04026,none,
Put Your Money Where Your Mouth Is: Evaluating Strategic Planning and Execution of LLM Agents in an Auction Arena,"multi-agent sim, multi-agent competition, llm evaluation",https://arxiv.org/abs/2310.05746,https://github.com/jiangjiechen/auction-arena,
Exploring Model Kinship for Merging Large Language Models,learning,https://arxiv.org/abs/2410.12613,https://github.com/zjunlp/ModelKinship,
PEAR: A Robust and Flexible Automation Framework for Ptychography Enabled by Multiple Large Language Model Agents,"natural science, multi-agent collaboration",https://arxiv.org/abs/2410.09034,none,
Generative Agents: Interactive Simulacra of Human Behavior,multi-agent sim,https://arxiv.org/abs/2304.03442,https://github.com/joonspk-research/generative_agents,
Epidemic Modeling with Generative Agents,multi-agent sim,https://arxiv.org/abs/2307.04986,none,
On Generative Agents in Recommendation,multi-agent sim,https://arxiv.org/abs/2310.10108,https://github.com/LehengTHU/Agent4Rec,
War and Peace (WarAgent): Large Language Model-based Multi-Agent Simulation of World Wars,"multi-agent sim, social science",https://arxiv.org/abs/2311.17227,https://github.com/agiresearch/WarAgent,
Agent Hospital: A Simulacrum of Hospital with Evolvable Medical Agents,multi-agent sim,https://arxiv.org/html/2405.02957v1,none,
"Unveiling the Truth and Facilitating Change:
Towards Agent-based Large-scale Social Movement Simulation","multi-agent sim, social science",https://arxiv.org/abs/2402.16333,https://github.com/xymou/social_simulation,"Metoo, Roe, BLM"
MAO: A Framework for Process Model Generation with Multi-Agent Orchestration,multi-agent collaboration,https://arxiv.org/abs/2408.01916,https://anonymous.4open.science/r/MAO-1074,"FG-C, CG-O"
Internet of Agents: Weaving a Web of Heterogeneous Agents for Collaborative Intelligence,"multi-agent collaboration, framework",https://arxiv.org/abs/2407.07061,https://github.com/OpenBMB/IoA,"TriviaQA, Natural Questions, HotpotQA, 2WikiMultiHopQA"
Multi-Agent Software Development through Cross-Team Collaboration,multi-agent collaboration,https://arxiv.org/abs/2406.08979,https://github.com/OpenBMB/ChatDev,SRDD(self)
Scaling Large-Language-Model-based Multi-Agent Collaboration,multi-agent collaboration,https://arxiv.org/abs/2406.07155,https://github.com/OpenBMB/ChatDev,"MMLU,HumanEval,SRDD,CommonGen-Hard"
Iterative Experience Refinement of Software-Developing Agents,"learning, framework",https://arxiv.org/abs/2405.04219,,
Synergistic Multi-Agent Framework with Trajectory Learning for Knowledge-Intensive Tasks,"multi-agent collaboration, learning",https://arxiv.org/abs/2407.09893,https://github.com/yueshengbin/SMART,self
AgentCourt: Simulating Court with Adversarial Evolvable Lawyer Agents,multi-agent sim,https://doi.org/10.48550/arXiv.2408.08089,https://github.com/relic-yuexi/AgentCourt,AgentCourt(self)
PsychoGAT: A Novel Psychological Measurement Paradigm through Interactive Fiction Games with LLM Agents,llm evaluation,https://aclanthology.org/2024.acl-long.779/,none,
IBSEN: Director-Actor Agent Collaboration for Controllable and  Interactive Drama Script Generation,multi-agent collaboration,https://aclanthology.org/2024.acl-long.88/,https://github.com/OpenDFM/ibsen,none
Exploring Collaboration Mechanisms for LLM Agents:  A Social Psychology View,multi-agent collaboration,https://aclanthology.org/2024.acl-long.782.pdf,https://github.com/zjunlp/MachineSoM,"MMLU, MATH, Chess Move Validity"
MapCoder: Multi-Agent Code Generation for Competitive Problem Solving,multi-agent collaboration,https://aclanthology.org/2024.acl-long.269.pdf,https://github.com/Md-Ashraful-Pramanik/MapCoder,"HumanEval, EvalPlus, MBPP, APPS, xCodeEval, CodeContest"
"PsySafe: A Comprehensive Framework for Psychological-based Attack, Defense, and Evaluation of Multi-agent System Safety",evaluation on MGAS,https://aclanthology.org/2024.acl-long.812/,https://github.com/AI4Good24/PsySafe,PsySafe(self)
Rethinking the Bounds of LLM Reasoning: Are Multi-Agent Discussions the Key?,multi-agent collaboration,https://aclanthology.org/2024.acl-long.331/,https://github.com/HKUST-KnowComp/LLM-discussion,FOLIO-wiki
EconAgent: Large Language Model-Empowered Agents for Simulating Macroeconomic Activities,multi-agent sim,https://aclanthology.org/2024.acl-long.829/,https://github.com/tsinghua-fib-lab/ACL24-EconAgent,
LLMARENA: Assessing Capabilities of Large Language Models in Dynamic Multi-Agent Environments,evaluation on MGAS,https://aclanthology.org/2024.acl-long.705.pdf,https://github.com/THU-BPM/LLMArena.,
ChatDev: Communicative Agents for Software Development,multi-agent collaboration,https://aclanthology.org/2024.acl-long.810/,https://github.com/OpenBMB/ChatDev,SRDD(self)
"CoMM:Collaborative Multi-Agent, Multi-Reasoning-Path Prompting for Complex Problem Solving",multi-agent collaboration,https://aclanthology.org/2024.findings-naacl.112.pdf,none,
MindAgent: Emergent Gaming Interaction,"multi-agent sim, evaluation on MGAS, multi-agent collaboration",https://aclanthology.org/2024.findings-naacl.200.pdf,none,
Simulating Opinion Dynamics with Networks of LLM-based Agents,multi-agent sim,https://aclanthology.org/2024.findings-naacl.211/,https://github.com/yunshiuan/llm-agent-opinion-dynamics,self
Large Language Model-driven Multi-Agent Simulation for News Diffusion Under Different Network Structures,multi-agent sim,https://arxiv.org/abs/2410.13909,none,FakeNewsNet
A Reflective LLM-based Agent to Guide Zero-shot Cryptocurrency Trading,multi-agent collaboration,[2409.16686] MSI-Agent: Incorporating Multi-Scale Insight into Embodied Agents for Superior Planning and Decision-Making,none,none
AgentReview: Exploring Peer Review Dynamics with LLM Agents,multi-agent sim,[2406.12708] AgentReview: Exploring Peer Review Dynamics with LLM Agents,https://github.com/Ahren09/,real-world peer review for ICLR 2020 - 2023
Triad: A Framework Leveraging a Multi-Role LLM-based Agent to Solve Knowledge Base Question Answering,multi-agent collaboration,https://arxiv.org/abs/2402.14320,none,
An Electoral Approach to Diversify LLM-based Multi-Agent Collective Decision-Making,multi-agent collaboration,https://arxiv.org/abs/2410.15168,https://github. com/xiutian/GEDI,MCQA
CoEvol: Constructing Better Responses for Instruction Finetuning through Multi-Agent Cooperation,"multi-agent collaboration, learning",https://arxiv.org/abs/2406.07054,https://github.com/lirenhao1997/CoEvol,"MT-Bench, AlpacaEval"
"MAgIC: Investigation of Large Language Model Powered Multi-Agent in Cognition, Adaptability, Rationality and Collaboration","evaluation on MGAS, llm evaluation",https://arxiv.org/abs/2311.08562,https://github.com/cathyxl/MAgIC,MAgIC(self)
Into the Unknown Unknowns: Engaged Human Learning through Participation in Language Model Agent Conversations,multi-agent collaboration,https://arxiv.org/abs/2408.15232,https://github.com/stanford-oval/storm,WildSeek(Self)
CodeAgent: Autonomous Communicative Agents for Code Review,multi-agent collaboration,https://arxiv.org/abs/2402.02172,https://github.com/Code4Agent/codeagent,"Trans-Review,AutoTransform,T5-Review"
Neeko: Leveraging Dynamic LoRA for Efficient Multi-Character Role-Playing Agent,multi-agent collaboration,https://arxiv.org/abs/2402.13717,https://github.com/weiyifan1023/Neeko,Character-LLM-Data
LONGAGENT: Achieving Question Answering for 128k-Token-Long Documents through Multi-Agent Collaboration,multi-agent collaboration,https://aclanthology.org/2024.emnlp-main.912/,none,
Small LLMs Are Weak Tool Learners: A Multi-LLM Agent,"multi-agent collaboration, learning",https://arxiv.org/abs/2401.07324,https://github.com/X-PLUG/Multi-LLM-Agent,"ToolBench, ToolAlpaca"
Encouraging Divergent Thinking in Large Language Models through Multi-Agent Debate,"multi-agent competition, multi-agent collaboration",https://arxiv.org/abs/2305.19118,https://github.com/Skytliang/Multi-Agents-Debate,MT-Bench
Richelieu: Self-Evolving LLM-Based Agents for AI Diplomacy,multi-agent collaboration,https://arxiv.org/abs/2407.06813,,C-Diplo ArgirArcher（a scoring system）
Counterfactual PPO Enhanced Shared Reflector for LLM-based Multi-agent Collaboration,multi-agent collaboration,,,
Inverse Factorized Soft Q-Learning for Cooperative Multi-agent Imitation Learning,learning,https://arxiv.org/abs/2310.06801,,
MACM: Utilizing a Multi-Agent System for Condition Mining in Solving Complex Mathematical Problems,multi-agent collaboration,https://arxiv.org/abs/2404.04735,https://github.com/bin123apple/MACM,MATH
Long-Horizon Planning for Multi-Agent Robots in Partially Observable Environments,multi-agent collaboration,https://arxiv.org/abs/2407.10031,,MAP-THOR(self)
ZSC-Eval: An Evaluation Toolkit and Benchmark for Multi-agent Zero-shot Coordination,"evaluation on MGAS, multi-agent collaboration",https://arxiv.org/abs/2310.05208,https://github.com/sjtu-marl/zsc-eval,ZSC-Eval (self)
Very Large-Scale Multi-Agent Simulation in AgentScope,multi-agent sim,https://arxiv.org/abs/2407.17789,https://github.com/modelscope/agentscope/tree/main/examples/paper_large_scale_simulation,none
Shall We Team Up: Exploring Spontaneous Cooperation of Competing LLM Agents,multi-agent collaboration,https://arxiv.org/abs/2402.12327,https://github.com/wuzengqing001225/SABM_ShallWeTeamUp,none
"Personalized Recommendation Systems using Multimodal, Autonomous, Multi Agent Systems",multi-agent collaboration,https://arxiv.org/abs/2410.19855,none,
Adversarial Multi-Agent Evaluation of Large Language Models through Iterative Debates,"multi-agent competition, evaluation on MGAS",https://arxiv.org/abs/2410.04663,none,
DroidSpeak: Enhancing Cross-LLM Communication,"multi-agent collaboration, framework",https://arxiv.org/abs/2411.02820,,"HotpotQA,NarrativeQA,MultifieldQA"
ReDel: A Toolkit for LLM-Powered Recursive Multi-Agent Systems,framework,https://arxiv.org/abs/2408.02248,https://github.com/zhudotexe/redel,
"AdaSociety: An Adaptive Environment with Social Structures for
 Multi-Agent Decision-Making","multi-agent sim, framework",https://arxiv.org/abs/2411.03865,https://github.com/bigai-ai/AdaSociety.,AdaSociety(self)
